active_runtime_upload_manifest_present,blocking_warnings,case_id,companion_sha_match,creative_output_certified_false,delivery_allowed,fail_codes,field_source_trace_ledger_all_models,field_source_trace_ledgers,generate_rc,generate_result,generate_seconds,generate_timeout,level,model_count,post_completion_process_kill,profile360_61_per_model,profile360_counts,project_id,result,runtime_chatgpt,runtime_copilot,runtime_logical_10_plus_n,scope,techext_284_per_model,techext_counts,validate_rc,validate_result,validate_seconds,validate_timeout,validation_fail_codes,validation_source,validators_fail,zip_bytes,zip_sha256,zipfile_testzip
True,0,H238_INTERMEDIATE_N1,PASS,True,PASS,[],True,1,0,PASS,22.416,False,intermediate,1,False,True,[61],IDUNEX_PROJECT_H238_INTERMEDIATE_N1_v1.0.0,PASS,11,11,True,internal,True,[284],0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1016444,a41584189297b882ff9ec227f4028815ba62e398c0c4911bd7d9f4ff42d26244,PASS
True,0,H238_INTERMEDIATE_N10,PASS,True,PASS,[],True,10,0,PASS,129.4,False,intermediate,10,False,True,"[61, 61, 61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N10_v1.0.0,PASS,20,20,True,internal,True,"[284, 284, 284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,4462923,8e9a9b22766c4124bdfd7d71ceeaaee1781137b18a935b2ecb809c4e3f1b3a99,PASS
True,0,H238_INTERMEDIATE_N2,PASS,True,PASS,[],True,2,0,PASS,32.57,False,intermediate,2,False,True,"[61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N2_v1.0.0,PASS,12,12,True,internal,True,"[284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1349332,c745c5879947c2cdf29a1c0b7ed3bf925511469670f6fbdba643a379b116d4cb,PASS
True,0,H238_INTERMEDIATE_N3,PASS,True,PASS,[],True,3,0,PASS,44.016,False,intermediate,3,False,True,"[61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N3_v1.0.0,PASS,13,13,True,internal,True,"[284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1693476,927dd0bc58e1fb50a44c97c2e3118a4cf812f66feab9ee913e985d6f32ca534b,PASS
True,0,H238_INTERMEDIATE_N4,PASS,True,PASS,[],True,4,0,PASS,49.922,False,intermediate,4,False,True,"[61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N4_v1.0.0,PASS,14,14,True,internal,True,"[284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2049060,a9b3676bddd7922d56bcb9ef7b707e84a87a7122791c8f45f6e17ca132f68dbb,PASS
True,0,H238_INTERMEDIATE_N5,PASS,True,PASS,[],True,5,0,PASS,62.712,False,intermediate,5,False,True,"[61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N5_v1.0.0,PASS,15,15,True,internal,True,"[284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2430787,2f0d189d8409118c25bd6c724e275d7c1748e732aef2821934a46bdbd4d05aab,PASS
True,0,H238_INTERMEDIATE_N6,PASS,True,PASS,[],True,6,0,PASS,76.043,False,intermediate,6,False,True,"[61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N6_v1.0.0,PASS,16,16,True,internal,True,"[284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2817092,b1707b050ca4d1415fbe5e667b38daf318d414a83ba9005493b2609fe08fa684,PASS
True,0,H238_INTERMEDIATE_N7,PASS,True,PASS,[],True,7,0,PASS,83.156,False,intermediate,7,False,True,"[61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N7_v1.0.0,PASS,17,17,True,internal,True,"[284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3210156,cb631edba677684777fbff59bbea8251a9d56f6a84d0676f5165c2a60b77ec65,PASS
True,0,H238_INTERMEDIATE_N8,PASS,True,PASS,[],True,8,0,PASS,99.843,False,intermediate,8,False,True,"[61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N8_v1.0.0,PASS,18,18,True,internal,True,"[284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3615140,74fe79ff2019dd52178d5b7a806bd4c064ec4ec6879c4a6285ae05973ed22055,PASS
True,0,H238_INTERMEDIATE_N9,PASS,True,PASS,[],True,9,0,PASS,106.648,False,intermediate,9,False,True,"[61, 61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_INTERMEDIATE_N9_v1.0.0,PASS,19,19,True,internal,True,"[284, 284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,4034073,8c0675820b4a53e66cf7ecdd3e20617f981b01fc187e1edc1b8d1f1766b4ea23,PASS
